Group,Model,Accuracy,Precision,Recall,F1,ROC-AUC,MAE,RMSE,R²,Adjusted R²
Classification,Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,,,,
Classification,Decision Tree,0.7640449438202247,0.76,0.5588235294117647,0.6440677966101694,0.8373663101604277,,,,
Classification,Random Forest,0.8089887640449438,0.765625,0.7205882352941176,0.7424242424242424,0.8195855614973262,,,,
Classification,Balanced Logistic Regression,0.7921348314606742,0.7183098591549296,0.75,0.7338129496402878,0.8612299465240643,,,,
Classification,SMOTE Logistic Regression,0.797752808988764,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.8665775401069519,,,,
Classification,Tuned Random Forest,0.8314606741573034,0.8653846153846154,0.6617647058823529,0.75,0.838903743315508,,,,
Regression,Linear Regression,,,,,,21.098604259640428,41.70210467903215,0.348162572160543,0.30913039085279115
